>> Working directories:
Input files: ../input/
Output files: output/
 
>> Integrator parameters:
Integrator timestep: 0.002 ps
Number of timesteps: 500000000
Real time: 1000.0 ns
Saved frames (only molecule): 2000
Saved frames (molecule+water): 2000
 
>> System parameters:
Lowest temperature: 273 K
Friction: 1 ps-1

<openmm.openmm.LangevinIntegrator; proxy of <Swig Object of type 'OpenMM::LangevinIntegrator *' at 0x7f36dce5e970> >
Solvation ... 

>> Molecule parameters:
Number of atoms (no water): 582
Number of water molecules: 4742
Total number of atoms: 14810
 


*** Minimizing ...
*** Minimization completed ***


*** Equilibrating...
*** Equilibration completed ***
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
2980000,-199930.56422364945,442.6267134694851,555
2990000,-196734.43391359085,448.5985840201091,555
3000000,-202958.6045984053,428.5633743751006,555
3010000,-205178.30482423538,416.1320315117507,554
3020000,-205956.16072023148,411.90700288249525,554
3030000,-208105.02571046585,403.1243966839462,554
3040000,-211465.35053956741,385.43090702008016,554
3050000,-214583.545302751,383.4629696983184,554
3060000,-213227.2356103682,376.45855534442353,554
3070000,-216607.07331788773,367.0645612935344,554
3080000,-224031.6092065596,332.78816210450066,554
3090000,-225539.7854150557,328.29115868637035,554
3100000,-225935.683974626,326.2668673245404,554
3110000,-225679.217177751,324.0297216330828,554
3120000,-222296.2243188643,338.93087309171676,555
3130000,-222899.66175782913,340.7837435836945,555
3140000,-225354.7522119307,332.1755145836116,555
3150000,-228128.89015138382,319.37084545267106,555
3160000,-229703.05085695023,323.53883728201555,555
3170000,-229541.4314721846,323.16526769176215,555
3180000,-234881.25605714554,299.120243173828,555
3190000,-235072.56556642288,301.3351719997471,555
3200000,-231488.71693361038,309.37643426747223,555
3210000,-231634.69776857132,302.48597889138614,555
3220000,-231674.2986596846,306.72504121342155,555
3230000,-235332.4974817061,298.9853112561719,555
3240000,-235186.27711427445,301.40638427470475,555
3250000,-238369.0651391768,292.487679737369,555
3260000,-238042.60188234085,291.82175824543157,555
3270000,-238433.1308435225,290.29246704432626,555
3280000,-238123.24555909866,290.3714953987763,556
3290000,-234851.6297143721,300.46903768554245,556
3300000,-235041.3512719893,301.76287084307575,556
3310000,-232089.75031984085,309.35075012353167,556
3320000,-228883.37992799515,323.3423345910179,556
3330000,-228078.41148317093,316.7595370563634,556
3340000,-229249.42893922562,319.1783765251096,556
3350000,-228358.81996095413,318.9323434276415,556
3360000,-225581.99421632523,332.5736594793416,556
3370000,-225887.34675538773,328.0019004636413,556
3380000,-228462.65821779007,318.75585851722656,556
