>> Working directories:
Input files: ../input/
Output files: output/
 
>> Integrator parameters:
Integrator timestep: 0.002 ps
Number of timesteps: 500000000
Real time: 1000.0 ns
Saved frames (only molecule): 2000
Saved frames (molecule+water): 2000
 
>> System parameters:
Lowest temperature: 273 K
Friction: 1 ps-1

<openmm.openmm.LangevinIntegrator; proxy of <Swig Object of type 'OpenMM::LangevinIntegrator *' at 0x7f0ac8fa2970> >
Solvation ... 

>> Molecule parameters:
Number of atoms (no water): 582
Number of water molecules: 4742
Total number of atoms: 14810
 


*** Minimizing ...
*** Minimization completed ***


*** Equilibrating...
*** Equilibration completed ***
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1120000,-210880.8084253096,396.34532133092483,645
1130000,-205862.31294191116,409.75971873054954,645
1140000,-200581.56043946976,440.813424684456,644
1150000,-210625.43434083695,386.8179416861558,644
1160000,-214574.84504640335,380.6718195600272,644
1170000,-216751.3463891768,361.1609935560289,644
1180000,-222495.55757081741,340.3029697105921,645
1190000,-224861.00508058304,329.32236861522097,645
1200000,-220722.04402101273,353.2616810871206,645
1210000,-215287.3562768721,370.5863380810405,645
1220000,-208742.4420923018,398.1122872904241,645
1230000,-202518.80958497757,421.15920219859953,645
1240000,-196849.98432862991,451.7046519979643,645
1250000,-194000.02009523148,467.6158363607972,645
1260000,-190975.37129152054,479.9952850499923,644
1270000,-201910.41261232132,429.88114953366005,644
1280000,-203100.976943376,424.83450918667023,644
1290000,-207800.740615251,401.1313074922585,644
1300000,-213342.40937745804,376.0261510139882,644
1310000,-205815.7965844893,413.55681899273475,644
1320000,-193590.09956300491,468.99568265941855,644
1330000,-188172.30421388382,500.11758393013264,644
1340000,-193450.96638429398,471.6474147415583,644
1350000,-202526.90449464554,431.2516575902214,643
1360000,-208069.67829835648,404.43688952775506,643
1370000,-210700.03034913773,381.29286192589217,643
1380000,-221945.26972902054,339.59010737251225,643
1390000,-222598.37849366898,343.8936122909931,644
1400000,-217482.33216798538,361.44571634581695,644
1410000,-225237.4167016768,332.97460577423305,644
1420000,-231575.10151612991,313.5015481035343,644
1430000,-228683.90602052445,315.8475679579968,644
1440000,-225476.65016114945,327.5185902083767,644
1450000,-228629.13435304398,322.205957031383,644
1460000,-234707.187880876,301.21089263640704,645
1470000,-232760.89540040726,310.1114778116536,645
1480000,-232937.89155519241,311.19474370292284,645
1490000,-237382.27558839554,292.3673668013518,645
1500000,-239749.93781984085,277.18155290066136,646
1510000,-244213.4336999678,272.7362011367989,646
1520000,-244120.23841798538,273.5263175445189,646
1530000,-244429.53340089554,274.2046247524165,646
1540000,-241104.50288331741,283.5422295646066,647
1550000,-239162.33015382523,292.4868146719205,647
1560000,-235266.81867921585,301.399933762732,647
1570000,-232431.25105226273,308.7735867495888,647
1580000,-236248.52058351273,302.19145138842714,647
1590000,-229104.8766626143,319.68807773085763,648
1600000,-228912.39570558304,324.5985938723746,648
1610000,-232622.21028077835,310.76306276430853,648
1620000,-231569.4109643721,314.0739761740375,648
1630000,-234614.14704835648,301.6386757960383,648
1640000,-237935.03236329788,293.4482355576143,648
1650000,-240369.35468995804,279.02131774283777,649
1660000,-243328.4049829268,273.5759527485882,649
1670000,-244379.8991235518,271.2320967618373,649
1680000,-242638.02571046585,273.3439301104721,649
