>> Working directories:
Input files: ../input/
Output files: output/
 
>> Integrator parameters:
Integrator timestep: 0.002 ps
Number of timesteps: 500000000
Real time: 1000.0 ns
Saved frames (only molecule): 2000
Saved frames (molecule+water): 2000
 
>> System parameters:
Lowest temperature: 273 K
Friction: 1 ps-1

<openmm.openmm.LangevinIntegrator; proxy of <Swig Object of type 'OpenMM::LangevinIntegrator *' at 0x7f063ae36970> >
Solvation ... 

>> Molecule parameters:
Number of atoms (no water): 582
Number of water molecules: 4742
Total number of atoms: 14810
 


*** Minimizing ...
*** Minimization completed ***


*** Equilibrating...
*** Equilibration completed ***
#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
2700000,-222323.61189210648,341.357244115958,653
2710000,-220172.48097169632,354.49536238141394,653
2720000,-223116.98139894241,338.47213594135206,653
2730000,-225690.53718507523,329.8027728929863,653
2740000,-231848.95637452835,309.74697330300256,653
2750000,-235361.28614747757,304.85634377047063,653
2760000,-235916.25019777054,301.94455135383504,653
2770000,-237702.58509767288,291.11809807615964,654
2780000,-233811.234755876,298.9827588342022,654
2790000,-234467.87318361038,302.10588761885583,654
2800000,-231527.1804956221,309.73638592695016,654
2810000,-231438.4006494307,309.76465283931446,654
2820000,-228186.9001001143,322.29941012381823,654
2830000,-228671.22352540726,322.6492528555311,654
2840000,-222427.71577394241,341.0619097305254,654
2850000,-220408.77149904007,353.19792790380933,654
2860000,-217269.26582277054,363.1738612574148,654
2870000,-214939.7409204268,371.0397819357318,654
2880000,-211931.2830346846,385.8983074823764,654
2890000,-208997.7478784346,404.0607680431459,654
2900000,-202905.6383813643,427.8022970225881,654
2910000,-208167.63862550491,400.1703687673337,654
2920000,-205691.20637452835,417.76192888612434,654
2930000,-205485.57807862991,413.0566053387081,654
2940000,-200342.82597291702,439.97003045936856,654
2950000,-196838.4275659346,456.8598290775816,654
2960000,-199660.64344728226,442.524310258916,654
2970000,-197632.41828859085,456.1161481375232,654
2980000,-191026.09675538773,481.40356450328676,654
2990000,-188372.6604150557,502.17815658882745,653
3000000,-195192.7184594893,473.81967725099,653
3010000,-191620.4538110518,482.29542365159074,653
3020000,-189152.24281251663,499.5345268757915,653
3030000,-188625.17695558304,503.37534070111525,653
3040000,-189263.99073732132,496.6069344713901,653
3050000,-194310.7668603682,468.44495294226385,653
3060000,-197278.09760987991,457.1219724708415,653
3070000,-194413.31391847366,470.05123570329675,653
3080000,-199969.17048585648,442.0891239035024,653
3090000,-202439.50831544632,423.4980264999578,653
3100000,-203990.16816652054,427.25742599625124,653
3110000,-203020.87519777054,427.5543259953939,653
3120000,-208617.29792726273,396.9923209739564,652
3130000,-211052.57093751663,382.5203250425217,652
3140000,-214214.7682641768,379.1891665985989,652
3150000,-214017.04402101273,376.6003812001569,652
3160000,-209407.02638185257,402.5966795994164,652
3170000,-211285.43586671585,390.66238708098734,652
3180000,-215839.89613282913,371.1941077629251,652
3190000,-210828.27638185257,393.5616857407443,652
3200000,-208573.81751954788,401.72937140313167,652
3210000,-209741.31446779007,401.264359074449,652
3220000,-204502.23091066116,413.1891173654027,652
3230000,-199483.7760766768,436.72077494542026,652
3240000,-196911.34193361038,452.85573418084954,652
3250000,-197324.89582765335,456.0937221091515,652
3260000,-194852.49372804398,462.2770149786884,652
3270000,-194472.75385987991,469.7675631799032,652
3280000,-191134.2096704268,486.61147323330516,652
3290000,-191529.27265870804,479.23321517968867,652
3300000,-198377.01527345413,442.56619097139446,652
3310000,-202124.42500245804,426.90371923847255,652
3320000,-192191.78669679398,483.2187527684352,652
3330000,-188742.74757325882,504.13948489250225,651
3340000,-189479.537490251,496.6730720177361,651
3350000,-193770.09425294632,476.16077748621314,651
3360000,-194504.65278566116,463.2843473199759,651
3370000,-189703.99861085648,489.6607708535863,651
3380000,-189574.066787126,509.631406342918,651
3390000,-187109.59449708695,496.83739502099576,651
3400000,-191108.11421144241,489.5711772672071,651
3410000,-196785.89985597366,463.6357022847604,651
3420000,-200541.55274904007,437.63413671920785,651
3430000,-199636.49262941116,436.30522503454614,651
3440000,-208606.88551271195,394.8799893901561,651
3450000,-205482.43290651077,413.86140155374386,651
3460000,-207105.7015832686,407.42244450403535,651
3470000,-199917.07942140335,442.75285273528584,651
3480000,-202734.25703370804,419.61621251058045,651
3490000,-206151.87318361038,417.6079258564014,651
3500000,-211377.21186769241,387.4030088507178,651
3510000,-210792.93183839554,386.8846271468141,650
3520000,-211496.7039331221,382.5425753654182,650
